.get()	เปิดหน้าเว็บที่ต้องการ
.quit()	ปิดเบราเซอร์ ยุติการใช้งาน
.close()	ปิดเฉพาะหน้าต่างหรือแท็กที่เลือกอยู่
.switch_to.new_window()	เปิดหน้าต่างหรือแท็กใหม่
.switch_to.window()	เปลี่ยนหน้าต่างหรือแท็ก
.back()	ย้อนกลับไปยังหน้าเก่า
.forward()	กลับไปยังหน้าก่อนที่จะย้อนมา
.refresh()	โหลดหน้าเว็บใหม่
.save_screenshot()	บันทึกภาพหน้าจอเบราเซอร์เป็นไฟล .png
.get_screenshot_as_png()	ดึงเอาข้อมูลภาพหน้าจอเบราเซอร์
.set_window_size()	ปรับขนาดหน้าต่าง
.execute_script()	รันโค้ดจาวาสคริปต์ในเบราเซอร์
.find_element()	ค้นหาแท็กแรกที่หาเจอ
.find_elements()	ค้นหาแท็กทั้งหมดที่เจอ
.get_cookies()	ดูค่าคุกกี้ทั้งหมดใบเบราเซอร์
.add_cookie()	ติดตั้งคุกกี้ลงในเบราเซอร์

และสุดท้ายนี้ขอเขียนตารางสรุปวิธีการค้นหาแท็กโดยใช้เมธอด .find_element() และ .find_elements() ไว้

id	ค้นหาจาก ID ของแท็ก
name	ค้นหาจากแอตทริบิวต์ name ของแท็ก
class name	ค้นหาจากชื่อคลาสของแท็ก
tag name	ค้นหาจากชื่อแท็ก
css selector	ค้นหาจาก css ของแท็ก
link text	ค้นหาแท็กลิงก์ที่เป็นข้อความนั้น
partial link text	ค้นหาแท็กลิงก์ที่มีข้อความนั้นรวมอยู่
xpath	ค้นหาโดยใช้ xpath
